2021-06-27 22:06:977 INFO  OpenAccountPage :36 - Selecting Customer from DropDown[[ChromeDriver: chrome on WINDOWS (b1ba4bbc03e9b665ee936b3744baffbe)] -> xpath: //option[text() = 'Hermoine Granger']]
2021-06-27 22:06:148 INFO  CustomerLoginPage :29 - Clikcing on Login Tab[[ChromeDriver: chrome on WINDOWS (b1ba4bbc03e9b665ee936b3744baffbe)] -> xpath: //button[text()='Login']]
2021-06-27 22:06:197 INFO  CustomersPage :21 - verifying logout tab[[ChromeDriver: chrome on WINDOWS (b1ba4bbc03e9b665ee936b3744baffbe)] -> xpath: //button[@ng-click = 'byebye()']]
2021-06-27 22:06:380 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 22:06:261 INFO  HomePage :28 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (c1b0fdc7765300d637c92ab51357c438)] -> xpath: //button[contains(text(), 'Bank Manager Login')]]
2021-06-27 22:06:772 INFO  BankManagerLoginPage :21 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (c1b0fdc7765300d637c92ab51357c438)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 22:06:168 INFO  AddCustomerPage :30 - Enter first name[[ChromeDriver: chrome on WINDOWS (c1b0fdc7765300d637c92ab51357c438)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 22:06:506 INFO  AddCustomerPage :34 - Enter last name[[ChromeDriver: chrome on WINDOWS (c1b0fdc7765300d637c92ab51357c438)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 22:06:950 INFO  AddCustomerPage :38 - Enter postcode[[ChromeDriver: chrome on WINDOWS (c1b0fdc7765300d637c92ab51357c438)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 22:06:993 INFO  AddCustomerPage :41 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (c1b0fdc7765300d637c92ab51357c438)] -> xpath: //div[@class='form-group']//following-sibling::div[2]//following::button[@type='submit']]
2021-06-27 22:06:693 INFO  BankManagerLoginPage :25 - clicking open account tab[[ChromeDriver: chrome on WINDOWS (c1b0fdc7765300d637c92ab51357c438)] -> xpath: //button[@ng-click='openAccount()']]
2021-06-27 22:06:978 INFO  OpenAccountPage :36 - Selecting Customer from DropDown[[ChromeDriver: chrome on WINDOWS (c1b0fdc7765300d637c92ab51357c438)] -> xpath: //option[text() = 'Hermoine Granger']]
2021-06-27 22:06:413 INFO  OpenAccountPage :43 - clicking on currency[[ChromeDriver: chrome on WINDOWS (c1b0fdc7765300d637c92ab51357c438)] -> xpath: //select[@id = 'currency']][[ChromeDriver: chrome on WINDOWS (c1b0fdc7765300d637c92ab51357c438)] -> xpath: //option[contains(text(),  'Pound')]]
2021-06-27 22:06:637 INFO  OpenAccountPage :48 - clicking on process button[[ChromeDriver: chrome on WINDOWS (c1b0fdc7765300d637c92ab51357c438)] -> xpath: //button[contains(text(), 'Process')]]
2021-06-27 22:06:678 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 22:06:264 INFO  HomePage :28 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (6e79adc8d1615a753227928b4fc422c8)] -> xpath: //button[contains(text(), 'Bank Manager Login')]]
2021-06-27 22:06:21 INFO  BankManagerLoginPage :21 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (6e79adc8d1615a753227928b4fc422c8)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 22:06:635 INFO  AddCustomerPage :30 - Enter first name[[ChromeDriver: chrome on WINDOWS (6e79adc8d1615a753227928b4fc422c8)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 22:06:983 INFO  AddCustomerPage :34 - Enter last name[[ChromeDriver: chrome on WINDOWS (6e79adc8d1615a753227928b4fc422c8)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 22:06:439 INFO  AddCustomerPage :38 - Enter postcode[[ChromeDriver: chrome on WINDOWS (6e79adc8d1615a753227928b4fc422c8)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 22:06:494 INFO  AddCustomerPage :41 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (6e79adc8d1615a753227928b4fc422c8)] -> xpath: //div[@class='form-group']//following-sibling::div[2]//following::button[@type='submit']]
2021-06-27 22:06:347 INFO  HomePage :32 - clicking on home tab[[ChromeDriver: chrome on WINDOWS (6e79adc8d1615a753227928b4fc422c8)] -> xpath: //button[@class = 'btn home']]
2021-06-27 22:06:501 INFO  HomePage :24 - clicking on customerLogin tab[[ChromeDriver: chrome on WINDOWS (6e79adc8d1615a753227928b4fc422c8)] -> xpath: //button[contains(text(), 'Customer Login')]]
2021-06-27 22:06:839 INFO  OpenAccountPage :36 - Selecting Customer from DropDown[[ChromeDriver: chrome on WINDOWS (6e79adc8d1615a753227928b4fc422c8)] -> xpath: //option[text() = 'Hermoine Granger']]
2021-06-27 22:06:86 INFO  CustomerLoginPage :29 - Clikcing on Login Tab[[ChromeDriver: chrome on WINDOWS (6e79adc8d1615a753227928b4fc422c8)] -> xpath: //button[text()='Login']]
2021-06-27 22:06:168 INFO  CustomersPage :21 - verifying logout tab[[ChromeDriver: chrome on WINDOWS (6e79adc8d1615a753227928b4fc422c8)] -> xpath: //button[@ng-click = 'byebye()']]
2021-06-27 22:06:844 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 22:06:160 INFO  HomePage :28 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (04b078baf2c11f6b451289247bd3f628)] -> xpath: //button[contains(text(), 'Bank Manager Login')]]
2021-06-27 22:06:446 INFO  BankManagerLoginPage :21 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (04b078baf2c11f6b451289247bd3f628)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 22:06:734 INFO  AddCustomerPage :30 - Enter first name[[ChromeDriver: chrome on WINDOWS (04b078baf2c11f6b451289247bd3f628)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 22:06:100 INFO  AddCustomerPage :34 - Enter last name[[ChromeDriver: chrome on WINDOWS (04b078baf2c11f6b451289247bd3f628)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 22:06:465 INFO  AddCustomerPage :38 - Enter postcode[[ChromeDriver: chrome on WINDOWS (04b078baf2c11f6b451289247bd3f628)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 22:06:522 INFO  AddCustomerPage :41 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (04b078baf2c11f6b451289247bd3f628)] -> xpath: //div[@class='form-group']//following-sibling::div[2]//following::button[@type='submit']]
2021-06-27 22:06:268 INFO  BankManagerLoginPage :25 - clicking open account tab[[ChromeDriver: chrome on WINDOWS (04b078baf2c11f6b451289247bd3f628)] -> xpath: //button[@ng-click='openAccount()']]
